Service_Name,Section Title,ToS_Detail,ToS_Summary
PNC,OVERDRAFT PROTECTION AGREEMENT,"Overdraft Protection: This Agreement provides the terms and conditions of the PNC Bank Overdraft Protection service. Please read this Agreement and keep it with your important account information. 1. I/we, have designated certain of my/our account(s) as PROTECTING ACCOUNT(S) for the purpose of adding overdraft protection service and have authorized PNC Bank to apply this service to my/our designated PROTECTED ACCOUNT. If PNC has determined that sufficient funds are not available in the PROTECTED ACCOUNT to cover account withdrawals, PNC Bank will automatically transfer funds or credit from the PROTECTING ACCOUNT(S) as follows: A. If there are sufficient funds to cover some but not all of my/our overdrafts, PNC Bank will exercise its discretion (i) in paying some but not all of the items and (ii) to pay items drawn on the PROTECTED ACCOUNT in any order convenient to PNC Bank. PNC Bank’s general practice is to first add deposits (credits) to my/our Account, and then subtract withdrawals (debits) from my/our Account. Transactions are ordered according to the date and time the bank receives notice of the transaction. PNC Bank receives notice of transactions at various times throughout the day, and not necessarily in the order in which they occur. If multiple transactions are received at the same time, or are grouped together and contain no time, then the items will be processed in order of sequence number or, if no sequence number is available, largest-to-smallest dollar amount. If PNC Bank does not have information that allows it to determine the exact time notice of a transaction was received, PNC Bank may assign an approximated time to that transaction. Debit card purchases will be posted according to the date and time provided by the merchant. Because processing times vary, the time PNC Bank receives notice of a transaction may differ from the time shown on a receipt. page 27 of 31 RDAOPM11-0224The order of payment may affect the total number of items paid and/or returned and/or the amount of overdraft fees charged. B. At such time or times that PNC Bank determines that the PROTECTED ACCOUNT has insufficient funds, PNC Bank will transfer to the PROTECTED ACCOUNT an amount sufficient to pay all items creating the insufficient balance  first from funds or credit available in the first designated PROTECTING ACCOUNT, and, if an overdraft still exists, from funds or credit available in the second PROTECTING ACCOUNT, if a second PROTECTING ACCOUNT has been designated. If the PROTECTING ACCOUNT is a line of credit or credit card account, the amount transferred will be rounded upward to the next whole dollar. In rare circumstances, the amount transferred may overdraw the PROTECTING ACCOUNT if transactions are posted to the PROTECTING ACCOUNT after the transfer amount has been determined. C. If the PROTECTING ACCOUNT is a deposit account, PNC Bank will transfer the exact amount of the overdraft from the PROTECTING ACCOUNT. If the PROTECTING ACCOUNT is a line of credit or credit card, PNC Bank will not make any automatic transfer in amounts less than $50.00. D. This is not an extension of credit. If the PROTECTING ACCOUNT is a deposit account, PNC Bank shall not be obligated to transfer funds to the PROTECTED ACCOUNT if such a transfer will exceed the funds available in the deposit account. If the PROTECTING ACCOUNT is a credit card account, PNC Bank shall not be obligated to transfer funds to the PROTECTED ACCOUNT if the credit card account is in default, if your right to use the credit card account is closed or suspended, or if the transfer would exceed the credit card account’s cash advance limit. If the PROTECTING ACCOUNT is a line of credit account, PNC Bank shall not be obligated to transfer funds to the PROTECTED ACCOUNT if the transfer will cause the balance on the line of credit account to exceed the Maximum Credit. PNC Bank shall not be obligated to transfer funds to the PROTECTED ACCOUNT if the transfer will in any way violate the terms of the agreement(s) which governs the PROTECTING ACCOUNT(S). Finally, a scheduled transfer between PNC accounts will not be processed if the account (checking, savings, or money market) from which the funds are being transferred does not have sufficient funds, even if that account is set up with overdraft protection. E. Balances for all types of PROTECTING ACCOUNTS are available for nightly processing of items, for transactions process by branch tellers, and for point of sale or ATM online authorizations. F. I/we may from time to time contact PNC Bank to request a modification of this agreement by adding or substituting a different account as PROTECTING ACCOUNT 1 or 2. PNC Bank reserves the right to accept such modification of this Agreement or to require that a new Agreement be executed. 2. I/we understand that if any PROTECTING ACCOUNT is a line of credit or credit card account, any transfers that are made from such an account for purposes of overdraft protection will be subject to the terms of the line of credit agreement or credit card agreement, as applicable, including all rules, fees and other disclosures made with the agreement as well as any applicable fees set forth in PNC Bank’s Consumer Schedule of Service Charges and Fees. If the PROTECTING ACCOUNT is a credit card account, this credit card may be a PNC branded card issued by a third party card issuer, and I authorize PNC Bank and such issuer to share information necessary to process my overdraft protection transactions and administer this overdraft service. I authorize PNC Bank to update the credit card account number for my PROTECTING ACCOUNT if such issuer provides PNC Bank with a new credit card account number for me/us. 3. I/we understand that if any PROTECTING ACCOUNT is a checking, savings or money market deposit account, any transfers that are made from such an account for purposes of overdraft protection will be subject to the terms of the Account Agreement for Personal Checking, Savings and Money Market Accounts, and PNC Bank’s Consumer Schedule of Service Charges and Fees, together with any other disclosures provided in connection with the account. I/we understand that transfers made from any checking, savings or money market deposit account will count toward any applicable transaction limitations set forth in the Account Agreement for Personal Checking, Savings and Money Market Accounts, including limitations on preauthorized transfers (including telephone and automatic transfers) each monthly service charge period. 4. This authorization may be modified and/or terminated at any time by PNC Bank upon notice to me/us and I/we understand that it will terminate automatically without notice if all PROTECTING ACCOUNTS are closed. If any PROTECTING ACCOUNT is a Home Equity Line of Credit account, then this authorization with respect to such account may not be terminated by PNC Bank except in accordance with my/our Home Equity Line of Credit account agreement.","The PNC Bank Overdraft Protection service agreement provides a detailed overview of how the bank's overdraft protection works, including the terms and conditions that govern the service. Here are the key elements of the agreement: 1. **Overdraft Protection Setup**: You can designate one or more of your PNC accounts as protecting accounts to cover overdrafts in your protected account. If an overdraft occurs, PNC will automatically transfer funds from the protecting account(s) to cover the shortfall. 2. **Discretionary Payment of Overdrafts**: If there are insufficient funds to cover all overdrafts, PNC has the discretion to determine which items to pay and in what order, potentially affecting the number of items paid or returned and the amount of overdraft fees charged. 3. **Transfer Amounts and Conditions**: - If the protecting account is a deposit account, PNC will transfer the exact overdraft amount. - For credit lines or credit cards, transfers won't be made for amounts less than $50.00, and only if the account isn't in default, closed, suspended, or exceeding its cash advance limit. - The agreement specifies conditions under which PNC won't transfer funds, including insufficient funds in a deposit account or exceeding credit limits. 4. **Balances Availability**: Balances in all types of protecting accounts are available for nightly processing, transactions by branch tellers, and for POS or ATM authorizations. 5. **Modification of Agreement**: You can request modifications to the agreement by adding or changing the designated protecting accounts, subject to PNC's approval. 6. **Terms for Credit Lines or Credit Cards**: Transfers from credit lines or credit cards for overdraft protection are subject to the terms of the respective credit agreement, including any fees and charges. 7. **Terms for Deposit Accounts**: Transfers from checking, savings, or money market accounts are subject to the terms of the personal account agreement and may count towards transaction limits. 8. **Modification and Termination**: PNC may modify or terminate the overdraft protection service at any time, with the termination being automatic if all protecting accounts are closed. For Home Equity Lines of Credit accounts, termination conditions are subject to the account agreement. This agreement emphasizes the importance of understanding how overdraft protection works, the conditions under which funds will be transferred to cover overdrafts, and the potential fees and impacts of such transfers. Customers are encouraged to carefully review these terms and conditions to effectively manage their accounts and avoid unnecessary overdraft fees."
Google,Removing your content,"Google reserves the right to remove user content that breaches terms, violates the law, or could harm other users, third parties, or Google itself. This includes a wide range of content violations such as child pornography, harassment, or intellectual property infringement, with compliance to applicable laws.","Outlines conditions under which Google may remove user content from its services due to terms violations, legal infractions, or potential harm"
Microsoft,Code of Conduct,"Code of Conduct. You are accountable for your conduct and content when using the Services. a. By agreeing to these Terms, you’re agreeing that, when using the Services, you will follow these rules: i. Don’t do anything illegal, or try to generate or share content that is illegal. ii. Don’t engage in any activity that exploits, harms, or threatens to harm children. iii. Don’t send spam or engage in phishing, or try to generate or distribute malware. Spam is unwanted or unsolicited bulk email, postings, contact requests, SMS (text messages), instant messages, or similar electronic communications. Phishing is sending emails or other electronic communications to fraudulently or unlawfully induce recipients to reveal personal or sensitive information, such as passwords, dates of birth, Social Security numbers, passport numbers, credit card information, financial information, or other sensitive information, or to gain access to accounts or records, exfiltration of documents or other sensitive information, payment and/or financial benefit. Malware includes any activity designed to cause technical harm, such as delivering malicious executables, organizing denial of service attacks or managing command and control servers. iv. Don’t publicly display or use the Services to generate or share inappropriate content or material (involving, for example, nudity, bestiality, pornography, offensive language, graphic violence, self-harm, or criminal activity). v. Don’t engage in activity that is fraudulent, false or misleading (e.g., asking for money under false pretenses, impersonating someone else, creating fake accounts, automating inauthentic activity, generating or sharing content that is intentionally deceptive, manipulating the Services to increase play count, or affect rankings, ratings, or comments). vi. Don’t circumvent any restrictions on access to, usage, or availability of the Services (e.g., attempting to “jailbreak” an AI system or impermissible scraping). vii. Don’t engage in activity that is harmful to you, the Services, or others (e.g., transmitting viruses, stalking, trying to generate or sharing content that harasses, bullies or threatens others, posting terrorist or violent extremist content, communicating hate speech, or advocating violence against others). viii. Don’t violate or infringe upon the rights of others (e.g., unauthorized sharing of copyrighted music or other copyrighted material, resale or other distribution of Bing maps, or taking photographs or video/audio recordings of others without their consent for processing of an individual’s biometric identifiers/information or any other purpose using any of the Services). ix. Don’t engage in activity that violates the privacy of others. x. Don’t help others break these rules. More information about our policies, moderation and enforcement processes and service specific terms is available at aka.ms/trustandsafety.","The Microsoft Services Code of Conduct requires users to act responsibly and lawfully, prohibiting illegal activities, exploitation or harm to children, spam, phishing, malware distribution, and sharing inappropriate content. It forbids fraudulent, false, misleading activities, circumventing service restrictions, harmful behavior towards individuals or the service, rights infringement, privacy violations, and aiding others in rule-breaking. For more details, users are directed to Microsoft's Trust and Safety policies."
Facebook,Advertising Policies,"Meta's Advertising Policies set the standards for ads displayed across its Products. The policies cover content restrictions, targeting practices, and transparency requirements. Advertisers must ensure their ads are appropriate, truthful, and comply with all applicable laws and regulations.","Defines the standards and requirements for advertising on Meta Products, including content appropriateness and legal compliance"
YouTube,About Software in the Service,"Downloadable Software When the Service requires or includes downloadable software (such as the YouTube Studio application), unless that software is governed by additional terms which provide a license, YouTube gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the software provided to you by YouTube as part of the Service. This license is for the sole purpose of enabling you to use and enjoy the benefit of the Service as provided by YouTube, in the manner permitted by this Agreement. You are not allowed to copy, modify, distribute, sell, or lease any part of the software, or to reverse-engineer or attempt to extract the source code of that software, unless laws prohibit these restrictions or you have YouTube’s written permission. Open Source Some software used in our Service may be offered under an open source license that we make available to you. There may be provisions in an open source license that expressly override some of these terms, so please be sure to read those licenses. ","YouTube provides a limited license for using its downloadable software, emphasizing compliance with this Agreement. Open source software used by YouTube may have different terms, necessitating careful review of those licenses by the users."
Google,Suspending or terminating your access to Google services,"Google may suspend or terminate a user's access to services or delete a Google Account for material or repeated breaches of terms, legal requirements, or actions causing harm or liability. Users have the option to appeal against suspensions or terminations they believe are in error.","Describes circumstances leading to suspension or termination of access to Google services, including the process for appealing such decisions."
Microsoft,Binding Arbitration and Class Action Waiver,"Binding Arbitration and Class Action Waiver If You Live In (or, If a Business, Your Principal Place of Business Is In) the United States. We hope we never have a dispute, but if we do, you and we agree to try for 60 days, upon receipt of a Notice of Dispute, to resolve it informally. If we can’t, you and we agree to binding individual arbitration before the American Arbitration Association (""AAA"") under the Federal Arbitration Act (""FAA""), and not to sue in court in front of a judge or jury. Instead, a neutral arbitrator will decide and the arbitrator’s decision will be final except for a limited right of review under the FAA. Class action lawsuits, class-wide arbitrations, private attorney-general actions, requests for public injunctions, and any other proceeding or request for relief where someone acts in a representative capacity aren’t allowed. Nor is combining individual proceedings without the consent of all parties. ""We,"" ""our,"" and ""us"" includes Microsoft and Microsoft’s affiliates. a. Disputes Covered—Everything Except IP. The term ""dispute"" is as broad as it can be. It includes any claim or controversy between you and us concerning the Services, the software related to the Services, the Services’ or software’s price, your Microsoft account, marketing, communications, your purchase transaction, billing, or these Terms, under any legal theory including contract, warranty, tort, statute, or regulation, except disputes relating to the enforcement or validity of your, your licensors’, our, or our licensors’ intellectual property rights. b. Send a Notice of Dispute Before Arbitration. If you have a dispute that our customer service representatives can’t resolve and you wish to pursue arbitration, you must first send an individualized Notice of Dispute to Microsoft Corporation, ATTN: CELA Arbitration, One Microsoft Way, Redmond, WA 98052-6399, U.S.A., or submit the form electronically. The Notice of Dispute form is available at https://go.microsoft.com/fwlink/?LinkId=245499. Complete that form in full, with all the information it requires. We’ll do the same if we have a dispute with you. This Notice of Dispute is a prerequisite to initiating any arbitration. Any applicable statute of limitations will be tolled from the date of a properly submitted individualized Notice of Dispute through the first date on which an arbitration may properly be filed under this section 15. c. Small Claims Court Option. Instead of sending a Notice of Dispute, either you or we may sue the other party in small claims court seeking only individualized relief, so long as the action meets the small claims court’s requirements and remains an individual action seeking individualized relief. The small claims court must be in your county of residence (or, if a business, your principal place of business). d. Arbitration Procedure. The AAA will conduct any arbitration under its Commercial Arbitration Rules (or if you are an individual and use the Services for personal or household use, or if the value of the dispute is less than $75,000 whether or not you are an individual or how you use the Services, its Consumer Arbitration Rules). For more information, see www.adr.org or call 1-800-778-7879. Section 15 and these Terms govern to the extent they conflict with any applicable AAA rules. To initiate an arbitration, submit the Demand for Arbitration form available at https://go.microsoft.com/fwlink/?LinkId=245497 to the AAA and mail a copy to us. The form must contain information that is specific to you and your claim. In a dispute involving $25,000 or less, any hearing will be telephonic or by videoconference unless the arbitrator finds good cause to hold an in-person hearing instead. Any in-person hearing will take place in your county of residence (or, if a business, your principal place of business). The arbitrator may award the same damages to you individually as a court could. The arbitrator may award declaratory or injunctive relief only to you individually to satisfy your individual claim, but not relief that would affect non-parties. The arbitrator rules on all issues except that a court has exclusive authority: (i) to decide arbitrability, as well as formation, existence, scope, validity, and enforceability of this arbitration agreement; (ii) to decide whether the parties have complied with the pre-arbitration requirements (including the individualized Notice of Dispute and Demand for Arbitration forms); (iii) to enforce the prohibition on class, representative, private attorney-general, or combined actions or proceedings, or public injunctive relief; and (iv) to enjoin an arbitration from proceeding if it does not comply with this section 15. If your Notice of Dispute involves claims similar to those of at least 24 other customers, and if you and those other customers are represented by the same lawyers, or by lawyers who are coordinating with each other, you and we agree that these claims will be “Related Cases.” Related Cases may only be filed in batches of up to 50 individual arbitrations at a time, and those individual arbitrations will be resolved in the following manner: (i) for the first batch, each side may select up to 25 of these Related Cases to be filed and resolved in individual arbitrations under this section 15; (ii) none of the other Related Cases may be filed or prosecuted in arbitration until the first batch of up to 50 individual arbitrations is resolved; and (iii) if, after that first batch, the parties are unable to informally resolve the remaining Related Cases, a second batch of Related Cases may be filed, where each side may select up to 25 of the Related Cases to be resolved in individual arbitrations under this section 15. This process of batched individual arbitrations will continue until the parties resolve all Related Cases informally or through individual arbitrations. A court has exclusive authority to enforce this paragraph, including whether it applies to a given set of claims, and to enjoin the filing or prosecution of arbitrations that do not comply with this paragraph. e. Arbitration Fees and Payments. i. Disputes Involving Less Than $75,000. We will promptly reimburse your filing fees and pay the AAA’s and arbitrator’s fees and expenses if: (i) the dispute involves less than $75,000; and before initiating arbitration (ii) you complied with all pre-arbitration requirements in this section 15, including, if applicable, the Related Cases paragraph. Otherwise, the AAA rules will govern payment of filing fees and the AAA’s and arbitrator’s fees and expenses. If, at the conclusion of the arbitration, the arbitrator awards you more than our last written offer made before the arbitrator was appointed, we will: pay you (i) the amount of the award or $1,000 (whichever is more); and; (ii) for any reasonable attorney’s fees you incurred; and any reasonable expenses (including expert witness fees and costs) that your attorney accrued in connection with your individual arbitration. ii. Disputes Involving $75,000 or More. The AAA rules will govern payment of filing fees and the AAA’s and arbitrator’s fees and expenses. f. Rejecting Future Arbitration Changes. You may reject any change we make to section 15 (except address changes) by personally signing and sending us notice within 30 days of the change by U.S. Mail to the address in section 15.b. If you do, the most recent version of section 15 before the change you rejected will apply. g. Severability. If, after exhaustion of all appeals, a court finds any part of this section 15 unenforceable as to any claim or request for a remedy, then the parties agree to arbitrate all claims and remedies subject to arbitration before litigating in court any remaining claims or remedies (such as a request for a public injunction remedy, in which case the arbitrator issues an award on liability and individual relief before a court considers that request). Otherwise, if any other part of section 15 is found to be unenforceable, the remainder will remain in effect (with an arbitration award issued before any court proceeding begins).","In the United States, disputes with Microsoft are to be resolved through binding arbitration rather than in court, except for intellectual property disputes. This agreement involves a 60-day attempt to resolve disputes informally before moving to arbitration with the American Arbitration Association under the Federal Arbitration Act. It prohibits class action lawsuits or arbitration, combining individual proceedings without all parties' consent, and any representative actions. Disputes encompass a broad range of issues related to Microsoft's services, software, pricing, accounts, and terms under any legal theory. The process includes submitting a Notice of Dispute to Microsoft, with the possibility of small claims court for individual relief under certain conditions. Arbitration covers disputes of any value, with specific rules for those involving less than $75,000, including Microsoft reimbursing filing and arbitration fees under certain conditions. Changes to the arbitration agreement can be rejected by the user, and if any part of the arbitration agreement is found unenforceable, the rest remains effective, aiming to keep disputes within the arbitration framework as much as possible."
Facebook,Limits on using our intellectual property,"Users may use Meta's intellectual property content, such as images or designs provided in the Products, only as expressly permitted by Meta's Brand Usage Guidelines or with prior written permission. Unauthorized use, modification, or attempts to extract source code are prohibited unless permitted by law or part of the Meta Bug Bounty Program","Use of Meta's intellectual property is restricted to permitted uses, with prohibitions on unauthorized modifications and source code extraction"
PNC,CONSUMER FUNDS AVAILABILITY POLICY,"Introducing Our Funds Availability Policy When you deposit checks and similar items to your PNC Bank account, you expect us to make the funds available for your use as quickly as possible. Our Funds Availability Policy is designed to do just that. Depending on the type of non-cash deposit you make, your funds may be available as quickly as the next business day. Of course, depending on the amount, type and source of your non-cash deposit, there are situations when your deposit will take longer to become available for your use. Our Funds Availability Policy provides detailed information about when funds you deposit will become available for your use. This policy is in effect for accounts opened in all PNC Bank markets. Please take a moment to review this Policy. By understanding how we make your deposits of non-cash items available, it will be easier for you to manage your account and realize all the benefits of banking with PNC Bank. Determining Availability of a Deposit We determine availability by counting the number of business days from the business day of your deposit. Every day except Saturday, Sunday and a federal holiday is a business day. If a deposit is received through one of our branch tellers, ATM, mobile device, remote deposit scanner, electronic deposit (i.e. ACH, Zelle®, Real-Time Payments), or by mail before our cut-off time, we will consider that day to be the day of your deposit. However, if a deposit is received after our cut-off time or on a day that is not a business day, we will consider the deposit as being received on the next business day that we are open. Our cut-off time is 10:00 p.m. ET. Further, deposits made through our night depository after 6:00 a.m. ET may be processed on the next business day. Availability varies depending on the type of deposit and is explained below. Checks drawn on banks located outside of the United States are not subject to this availability Policy. Please inquire regarding availability at the time you make such deposits. Initial $100 of Your Deposit The initial $100 of any deposit will be available on the evening of your deposit to pay checks or items that are presented to us that evening for posting. The balance of the $100, if any, will be available on the first business day after the business day of your deposit for all purposes. The remaining balance of your total deposit will be available depending on the type of deposit, as described in the availability provisions for each deposit as otherwise stated in this Policy. (Please see exception noted in “Special Rules for New PNC High Yield Savings Accounts Opened Online” in this Policy.) page 18 of 31 RDAOPM11-0224Same-Day Availability Funds from the following deposits are available on the same business day as the day of their deposit if received prior to our cut-off time of 10:00 p.m. ET: ● All cash deposits made to a PNC Bank teller and PNC ATMs equipped with currency validation technology ● All cash deposits made at a Non-PNC ATM equipped with currency validation technology. ● Checks or money orders drawn on PNC Bank will be available on the evening of your deposit to pay checks or items that are presented to us that evening for posting. ● Wire Transfers ● Online Banking Transfers ● Electronic deposits, including but not limited to ACH, Zelle, Real-Time Payments, etc. ● Check deposits approved using PNC Express Funds Deposits received after our cut-off time of 10:00 p.m. ET, or on a day that is not a business day, may be available for immediate withdrawal; however, we will consider the deposit as being received on the next business day to pay checks and other items that are presented to us that evening for posting. Note: Following is our general funds availability policy; however, please refer to our “Large Dollar Deposits” section below for availability of deposits that equal or exceed $50,000 and to the “Special Rules for New Account Holders” section for availability of deposits for new account holders, and the “Special Rules for New PNC High Yield Savings Accounts Opened Online” section. Next-Day Availability If a deposit of checks or money orders is received before the cut-off time on a business day that we are open, funds from your deposit of checks or money orders will be available as follows: ● Checks or money orders drawn on PNC Bank will be available on the evening of your deposit to pay checks or items that are presented to us that evening for posting. The remaining funds will be available on the first business day after the business day of your deposit for all purposes. ● All other deposits of checks or money orders will be available on the first business day after the business day of your deposit for all purposes. Large Dollar Deposits If your total deposits of checks, excluding the items listed in the “Items Excluded from Large Dollar Deposit Calculation” section later in this Policy, on any one business day, prior to our cut-off time, equal or exceed $50,000, then, $100 of any deposit will be available on the evening of your deposit to pay checks or items that are presented to us that evening for posting, an additional $125 will be available the first business day after the business day of your deposit for all purposes, and any remaining funds will be available the second business day after the business day of deposit for all purposes. As an example, if your total deposit equals or exceeds $50,000: 2-Day Availability (Eligible deposits of checks or money orders) Items Excluded from Large Dollar Deposit Calculation: a. Cash; b. Wire transfers; c. Electronic deposits; d. Check deposits approved using PNC Express Funds; e. The initial $100 of any deposit; f. Checks and money orders drawn on PNC Bank; g. U. S. Treasury checks payable to you; h. Federal Reserve Bank checks, Federal Home Loan Bank checks and U.S. Postal Service money orders payable to you; page 19 of 31 RDAOPM11-0224i. j. State and local government checks that are payable to you, if you use a special deposit ticket available upon request at a PNC Bank branch office; Non-PNC Bank cashier’s, certified and teller’s checks that are payable to you, if you use a special deposit ticket available upon request at a PNC Bank branch office. You are required to separate checks requiring special deposit tickets from other checks you are depositing. If you do not use a special deposit ticket for checks as noted above, or if you use a special deposit ticket inappropriately, your check deposit will be treated like any other check. Special Rules for New PNC High Yield Savings Accounts Opened Online When you open a new High Yield Savings account through PNC Online Banking, we will place an initial hold on the account for a period that will not exceed 5 business days, beginning with the business day on which your online application is completed (or next business day if application completed on a non-business day). Deposits made during this period will not be available during this period for any purpose. When the initial hold is removed from your account, funds from your deposits, including deposits made during the initial hold period, will be available according to the other provisions of this Policy. Special Rules for New Account Holders For purposes of this Funds Availability Policy, a “new account holder” is defined as a customer who does not have a PNC Bank checking account that has been open for more than 30 calendar days. If you are a new account holder, the following rules will apply when a deposit is made during the first 30 calendar days your account is open. All deposits not discussed in this section will be available as described elsewhere in this Policy. A. Funds from travelers checks deposited with a special deposit ticket, funds from deposits outlined as items “f” through “j” in the “Items Excluded from Large Dollar Deposit Calculation” section above, and $125 from deposited checks or items will be available on the first business day after the business day of your deposit for all purposes. B. Funds from checks will be available on the second business day after the business day of your deposit for all purposes. After the new account period has ended, funds from your deposits will be available according to our general policy. Longer Delays May Apply Funds you deposit by check may be delayed for a longer period under the following circumstances: ● We believe a check you deposited will not be paid. ● You deposit checks totaling $50,000 or more on any one business day. ● You redeposit a check that has been returned unpaid. ● You have overdrawn your account repeatedly in the last six months. ● There is an emergency such as a failure of communications or computer equipment. We will notify you of the delay in your ability to withdraw funds for any of the reasons listed, and we will tell you when the funds will be available. In this case, funds from the deposit of checks will usually be available no later than the fifth business day after the business day of your deposit for all purposes. Other restrictions are set forth in the Electronic Funds Transfer Disclosure Statement Brochure. Refusal of a Deposit We continue to reserve the right not to accept deposits. In some circumstances, items unacceptable for deposit, such as a mutilated check, may be processed as collection items. Accelerated Availability If you make a deposit of checks or money orders on a business day that we are open, we may make part of your deposit available to you sooner than otherwise stated in this Policy. The balance of your deposit will become available according to the other terms of this Policy. Endorsement It is important that you place your endorsement carefully on the back of all checks you are depositing. A 1½ inch area has been designated for your endorsement. Please ask your PNC Bank customer service representative about proper placement of your endorsement. If your endorsement is illegible because you have endorsed the check in the wrong location, you will be liable for any resulting losses. Your Responsibility You agree that PNC Bank may deduct the amount of a deposited check from your account balance if PNC Bank receives notice that the check has not been paid. PNC Bank may make this deduction even if the unpaid check has not yet been returned to the Bank. You agree that PNC Bank may charge an unpaid check against your account even if PNC Bank could claim reimbursement for the check from the bank on which the check was drawn or from some other bank. You agree that PNC Bank may charge a check back even if the charge results in an overdraft. page 20 of 31 RDAOPM11-0224If you have any further questions about this Funds Availability Policy, please contact your local branch or call us at 1-888PNC-BANK (1-888-762-2265).","The PNC Bank's Funds Availability Policy is designed to quickly make funds from non-cash deposits available to account holders. Here’s a summary of key points: Determining Availability: The availability of your deposit depends on the type of deposit and when it's made. Business days exclude weekends and federal holidays. Deposits made before the 10:00 p.m. ET cut-off time on business days are processed the same day; deposits after the cut-off time or on non-business days are processed the next business day. Initial $100 Availability: The first $100 of any deposit becomes available on the evening of the deposit day to cover checks or items presented that evening. The remaining $100 becomes available the next business day. Same-Day Availability: Cash deposits, checks or money orders drawn on PNC Bank, wire transfers, online banking transfers, and electronic deposits (e.g., ACH, Zelle®, Real-Time Payments) made before the cut-off time are available the same business day. Next-Day Availability: Deposits of checks or money orders drawn on PNC Bank made before the cut-off time are available the evening of the deposit day. Other checks or money orders are available the next business day. Large Dollar Deposits: Deposits of checks exceeding $50,000 in one business day have different availability rules. The first $100 is available on the evening of the deposit day, an additional $125 the next business day, and the remaining funds the second business day after the deposit. Special Rules for New Accounts: New account holders have different availability rules for the first 30 days. Certain funds will be available the next business day, while others will be available the second business day. Longer Delays: In certain situations, such as suspicion that a deposited check will not be paid or after depositing checks totaling $50,000 or more, there may be a longer delay in funds availability. Right to Refuse Deposits: PNC Bank reserves the right to refuse deposits. Endorsement: Proper endorsement on the back of checks is important for processing. Your Responsibility: If a deposited check is returned unpaid, PNC Bank may deduct the amount from your account, even if it results in an overdraft. This policy ensures that while funds are made available as swiftly as possible, there are specific conditions and exceptions based on the type of deposit and the total amount deposited."
Facebook,Live Policies,"The Live Policies apply to content broadcast via Facebook Live, outlining what is allowed and what is prohibited during live streaming. These policies are in place to protect the community from harmful content, respect privacy rights, and ensure a positive and safe viewing experience. Violations of the Live Policies may result in content removal, account restrictions, or other enforcement actions.","Regulates content on Facebook Live, ensuring it's free from harm, respects privacy, and provides a safe viewing experience."
